Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
29/10/2025 06:07:34,Undergraduate,Savings,"LKR 35,001 - 50,000",8840,1,Very Unaffordable,Affordable,Very Affordable,Neutral,Unaffordable,"Tuition Fees, Emergency Funding, Career Development Workshops",1-5 hours,I need to work more to cover rent.
10/11/2025 08:52:51,Undergraduate,"Scholarship/Grants, Parental/Family Support","LKR 25,001 - 35,000",8873,2,Neutral,Very Affordable,Unaffordable,Neutral,Very Affordable,Mental Health Services,11-15 hours,Financial stress is very high this semester.
21/11/2025 20:15:57,Postgraduate,Scholarship/Grants,Prefer not to say,9980,3,Very Unaffordable,Very Affordable,Very Affordable,Very Affordable,Very Unaffordable,"Career Development Workshops, Groceries/Food",More than 20 hours,Financial stress is very high this semester.
10/11/2025 19:21:14,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants","More than LKR 75,000",25395,1,Neutral,Neutral,Unaffordable,Very Unaffordable,Very Unaffordable,Groceries/Food,6-10 hours,
03/11/2025 06:55:41,Undergraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",3234,2,Affordable,Affordable,Neutral,Unaffordable,Very Unaffordable,"None of the above, Emergency Funding",0 hours,
22/11/2025 01:51:49,Postgraduate,"Other (e.g., Freelancing)","More than LKR 75,000",10896,1,Neutral,Unaffordable,Affordable,Affordable,Affordable,"None of the above, Emergency Funding",0 hours,
15/11/2025 14:18:11,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing), Parental/Family Support","LKR 35,001 - 50,000",8702,1,Very Unaffordable,Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,"None of the above, Career Development Workshops, Accommodation",1-5 hours,The country sucks
04/11/2025 11:24:36,Postgraduate,"Part-time Job, Savings","LKR 35,001 - 50,000",7024,2,Affordable,Unaffordable,Very Unaffordable,Neutral,Very Affordable,"Groceries/Food, Career Development Workshops",More than 20 hours,Scholarship funds are delayed.
19/11/2025 23:00:54,Undergraduate,Student Loans,"More than LKR 75,000",14540,4,Unaffordable,Neutral,Neutral,Affordable,Neutral,"Tuition Fees, Groceries/Food",16-20 hours,
03/11/2025 09:11:01,Undergraduate,Part-time Job,"Less than LKR 15,000",798,1,Neutral,Neutral,Very Unaffordable,Unaffordable,Neutral,Groceries/Food,1-5 hours,
07/11/2025 06:59:35,Undergraduate,"Savings, Parental/Family Support, Part-time Job","More than LKR 75,000",17602,4,Affordable,Very Unaffordable,Unaffordable,Unaffordable,Neutral,None of the above,0 hours,
14/11/2025 09:50:37,Postgraduate,Savings,"More than LKR 75,000",18435,5,Affordable,Neutral,Neutral,Neutral,Very Unaffordable,"Career Development Workshops, Tuition Fees",11-15 hours,Scholarship funds are delayed.
22/11/2025 07:20:25,Postgraduate,"Other (e.g., Freelancing)","More than LKR 75,000",15930,5,Very Unaffordable,Very Affordable,Neutral,Unaffordable,Affordable,None of the above,16-20 hours,Scholarship funds are delayed.
30/10/2025 07:51:54,Undergraduate,"Parental/Family Support, Part-time Job","LKR 35,001 - 50,000",9513,3,Unaffordable,Affordable,Very Unaffordable,Very Unaffordable,Unaffordable,"Tuition Fees, Career Development Workshops, Mental Health Services",More than 20 hours,
03/11/2025 08:50:11,Undergraduate,Part-time Job,"Less than LKR 15,000",306,2,Affordable,Very Affordable,Affordable,Very Affordable,Very Unaffordable,None of the above,1-5 hours,
26/10/2025 22:06:31,Postgraduate,Part-time Job,"Less than LKR 15,000",374,1,Unaffordable,Affordable,Very Unaffordable,Affordable,Neutral,"Tuition Fees, Mental Health Services",1-5 hours,Scholarship funds are delayed.
02/11/2025 05:30:32,Postgraduate,"Student Loans, Scholarship/Grants","LKR 25,001 - 35,000",1032,2,Unaffordable,Affordable,Very Affordable,Neutral,Unaffordable,"Career Development Workshops, Mental Health Services",16-20 hours,
30/10/2025 09:04:23,Postgraduate,"Part-time Job, Parental/Family Support","LKR 35,001 - 50,000",6619,1,Very Unaffordable,Neutral,Very Affordable,Very Unaffordable,Very Unaffordable,Career Development Workshops,11-15 hours,Scholarship funds are delayed.
12/11/2025 23:20:43,Postgraduate,Parental/Family Support,"More than LKR 75,000",29940,3,Very Affordable,Very Unaffordable,Affordable,Affordable,Neutral,Tuition Fees,6-10 hours,I need to work more to cover rent.
07/11/2025 06:51:46,Undergraduate,"Parental/Family Support, Scholarship/Grants, Student Loans","Less than LKR 15,000",817,5,Very Affordable,Very Unaffordable,Neutral,Neutral,Unaffordable,Groceries/Food,1-5 hours,
07/11/2025 18:06:08,Undergraduate,"Part-time Job, Savings","Less than LKR 15,000",432,1,Very Affordable,Affordable,Unaffordable,Neutral,Affordable,"Accommodation, Groceries/Food, Career Development Workshops",16-20 hours,
17/11/2025 02:01:47,Postgraduate,Savings,"More than LKR 75,000",25756,3,Neutral,Affordable,Affordable,Very Affordable,Very Unaffordable,"Emergency Funding, Groceries/Food",0 hours,I need to work more to cover rent.
07/11/2025 05:03:08,Postgraduate,"Student Loans, Other (e.g., Freelancing)","More than LKR 75,000",6705,1,Affordable,Very Unaffordable,Affordable,Very Unaffordable,Very Unaffordable,"Emergency Funding, Mental Health Services, Tuition Fees",0 hours,Scholarship funds are delayed.
12/11/2025 15:35:30,Undergraduate,"Savings, Scholarship/Grants, Part-time Job","More than LKR 75,000",10581,5,Very Affordable,Neutral,Unaffordable,Unaffordable,Very Unaffordable,"Mental Health Services, None of the above, Career Development Workshops",1-5 hours,
10/11/2025 04:41:07,Undergraduate,"Student Loans, Other (e.g., Freelancing)",Prefer not to say,2748,2,Neutral,Very Unaffordable,Very Unaffordable,Very Affordable,Affordable,"Career Development Workshops, Accommodation",16-20 hours,The country sucks
07/11/2025 02:27:23,Postgraduate,"Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",3492,5,Very Unaffordable,Very Affordable,Neutral,Affordable,Unaffordable,"Tuition Fees, Career Development Workshops, Mental Health Services",1-5 hours,
09/11/2025 04:53:08,Undergraduate,"Student Loans, Scholarship/Grants, Parental/Family Support","Less than LKR 15,000",297,1,Neutral,Very Affordable,Neutral,Very Unaffordable,Unaffordable,"None of the above, Mental Health Services, Emergency Funding",11-15 hours,
19/11/2025 12:11:37,Postgraduate,Student Loans,"Less than LKR 15,000",663,3,Affordable,Unaffordable,Neutral,Affordable,Affordable,"Career Development Workshops, Tuition Fees, None of the above",6-10 hours,
16/11/2025 22:25:26,Undergraduate,Savings,"LKR 50,001 - 75,000",26195,1,Very Affordable,Affordable,Neutral,Neutral,Very Unaffordable,Tuition Fees,More than 20 hours,The country sucks
05/11/2025 06:58:43,Undergraduate,Part-time Job,"Less than LKR 15,000",75,1,Unaffordable,Neutral,Very Unaffordable,Affordable,Very Unaffordable,Tuition Fees,6-10 hours,
18/11/2025 07:45:22,Undergraduate,"Student Loans, Savings, Part-time Job","More than LKR 75,000",23076,2,Neutral,Neutral,Very Affordable,Very Affordable,Unaffordable,"Accommodation, None of the above",16-20 hours,
15/11/2025 15:50:29,Postgraduate,"Scholarship/Grants, Student Loans, Part-time Job","LKR 15,001 - 25,000",3792,2,Affordable,Affordable,Neutral,Unaffordable,Very Affordable,Mental Health Services,More than 20 hours,Scholarship funds are delayed.
23/11/2025 05:31:48,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants","LKR 15,001 - 25,000",3919,5,Unaffordable,Neutral,Very Unaffordable,Neutral,Affordable,Career Development Workshops,0 hours,
31/10/2025 14:14:44,Undergraduate,"Scholarship/Grants, Part-time Job","Less than LKR 15,000",928,1,Unaffordable,Very Affordable,Very Affordable,Affordable,Affordable,"Mental Health Services, Tuition Fees, Accommodation",6-10 hours,
07/11/2025 05:10:46,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants, Savings","LKR 50,001 - 75,000",10852,2,Unaffordable,Affordable,Very Unaffordable,Unaffordable,Very Affordable,"Tuition Fees, Emergency Funding",1-5 hours,I need to work more to cover rent.
13/11/2025 09:18:35,Undergraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 25,001 - 35,000",6526,2,Affordable,Affordable,Very Affordable,Very Affordable,Very Affordable,Groceries/Food,0 hours,Scholarship funds are delayed.
31/10/2025 02:20:54,Undergraduate,Parental/Family Support,"LKR 35,001 - 50,000",1595,5,Unaffordable,Very Affordable,Neutral,Very Affordable,Very Affordable,Accommodation,More than 20 hours,I need to work more to cover rent.
27/10/2025 12:11:25,Postgraduate,"Savings, Part-time Job, Other (e.g., Freelancing)","LKR 35,001 - 50,000",8083,4,Affordable,Unaffordable,Unaffordable,Affordable,Very Affordable,"Tuition Fees, Mental Health Services, Accommodation",16-20 hours,
07/11/2025 16:21:39,Undergraduate,"Student Loans, Parental/Family Support, Other (e.g., Freelancing)","More than LKR 75,000",5901,4,Very Unaffordable,Very Unaffordable,Unaffordable,Affordable,Very Unaffordable,"Tuition Fees, Mental Health Services",11-15 hours,
31/10/2025 10:44:32,Postgraduate,"Part-time Job, Parental/Family Support","Less than LKR 15,000",490,2,Affordable,Very Unaffordable,Very Unaffordable,Affordable,Very Affordable,None of the above,6-10 hours,
09/11/2025 21:36:35,Postgraduate,"Student Loans, Other (e.g., Freelancing)","LKR 35,001 - 50,000",9023,4,Very Affordable,Affordable,Neutral,Neutral,Neutral,"Groceries/Food, None of the above",0 hours,Scholarship funds are delayed.
19/11/2025 08:30:10,Undergraduate,Savings,"LKR 50,001 - 75,000",24156,3,Very Unaffordable,Very Unaffordable,Affordable,Very Unaffordable,Neutral,"Groceries/Food, None of the above",1-5 hours,Scholarship funds are delayed.
04/11/2025 08:00:21,Undergraduate,Parental/Family Support,"LKR 25,001 - 35,000",1456,3,Neutral,Affordable,Unaffordable,Neutral,Affordable,Tuition Fees,1-5 hours,
24/11/2025 11:25:36,Postgraduate,Savings,"LKR 15,001 - 25,000",2733,1,Affordable,Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,"Tuition Fees, None of the above, Mental Health Services",16-20 hours,
24/11/2025 09:11:42,Postgraduate,"Part-time Job, Savings","Less than LKR 15,000",205,2,Affordable,Very Affordable,Very Unaffordable,Neutral,Unaffordable,"Tuition Fees, Emergency Funding",More than 20 hours,
21/11/2025 05:20:03,Postgraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",7044,2,Unaffordable,Very Affordable,Very Affordable,Unaffordable,Unaffordable,Tuition Fees,11-15 hours,Financial stress is very high this semester.
29/10/2025 06:11:37,Postgraduate,"Parental/Family Support, Student Loans, Other (e.g., Freelancing)","More than LKR 75,000",18883,4,Neutral,Unaffordable,Unaffordable,Very Unaffordable,Neutral,Career Development Workshops,0 hours,
26/10/2025 05:58:23,Undergraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 25,001 - 35,000",9360,4,Neutral,Neutral,Very Unaffordable,Neutral,Very Affordable,Career Development Workshops,16-20 hours,I need to work more to cover rent.
30/10/2025 15:43:39,Undergraduate,"Part-time Job, Scholarship/Grants","LKR 25,001 - 35,000",7711,2,Neutral,Affordable,Neutral,Very Affordable,Very Affordable,"None of the above, Accommodation, Emergency Funding",0 hours,I need to work more to cover rent.
12/11/2025 04:55:32,Postgraduate,"Student Loans, Other (e.g., Freelancing)","LKR 25,001 - 35,000",8142,3,Unaffordable,Very Affordable,Neutral,Unaffordable,Very Unaffordable,"Career Development Workshops, Accommodation",0 hours,
12/11/2025 13:09:56,Undergraduate,"Savings, Scholarship/Grants","More than LKR 75,000",21341,1,Unaffordable,Unaffordable,Affordable,Very Affordable,Neutral,None of the above,0 hours,
24/11/2025 14:49:40,Undergraduate,"Scholarship/Grants, Parental/Family Support","LKR 50,001 - 75,000",11406,1,Unaffordable,Very Unaffordable,Very Affordable,Neutral,Unaffordable,"Career Development Workshops, Mental Health Services, Emergency Funding",11-15 hours,
29/10/2025 16:37:04,Postgraduate,Part-time Job,"Less than LKR 15,000",317,3,Very Affordable,Neutral,Very Unaffordable,Unaffordable,Neutral,"Career Development Workshops, None of the above",More than 20 hours,
20/11/2025 09:03:52,Postgraduate,"Student Loans, Savings, Other (e.g., Freelancing)","LKR 15,001 - 25,000",8736,1,Affordable,Affordable,Very Unaffordable,Affordable,Neutral,Emergency Funding,16-20 hours,
27/10/2025 14:51:02,Undergraduate,"Parental/Family Support, Scholarship/Grants, Savings","LKR 15,001 - 25,000",5673,1,Neutral,Affordable,Affordable,Very Affordable,Neutral,"Career Development Workshops, Mental Health Services, Groceries/Food",11-15 hours,Scholarship funds are delayed.
27/10/2025 03:59:42,Postgraduate,Parental/Family Support,"More than LKR 75,000",27505,2,Very Unaffordable,Affordable,Very Affordable,Very Unaffordable,Very Affordable,"Tuition Fees, Groceries/Food",6-10 hours,
12/11/2025 16:25:55,Postgraduate,"Student Loans, Savings","LKR 25,001 - 35,000",9469,3,Affordable,Affordable,Neutral,Neutral,Neutral,"Tuition Fees, Accommodation, Mental Health Services",11-15 hours,The country sucks
09/11/2025 04:09:38,Postgraduate,"Student Loans, Scholarship/Grants, Other (e.g., Freelancing)","LKR 50,001 - 75,000",20086,4,Unaffordable,Neutral,Affordable,Very Unaffordable,Unaffordable,Accommodation,More than 20 hours,
16/11/2025 08:11:24,Undergraduate,Scholarship/Grants,"LKR 25,001 - 35,000",6014,3,Affordable,Very Unaffordable,Neutral,Affordable,Affordable,Tuition Fees,More than 20 hours,
19/11/2025 01:09:51,Undergraduate,"Scholarship/Grants, Savings, Part-time Job","LKR 35,001 - 50,000",3482,2,Very Unaffordable,Very Unaffordable,Very Unaffordable,Neutral,Unaffordable,"Mental Health Services, Emergency Funding",1-5 hours,
17/11/2025 18:32:04,Undergraduate,Part-time Job,"More than LKR 75,000",20261,1,Very Affordable,Affordable,Very Affordable,Very Unaffordable,Unaffordable,None of the above,1-5 hours,Financial stress is very high this semester.
21/11/2025 01:28:05,Postgraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",2128,2,Very Unaffordable,Very Unaffordable,Very Affordable,Neutral,Very Affordable,"None of the above, Career Development Workshops",1-5 hours,
20/11/2025 23:20:34,Postgraduate,"Savings, Scholarship/Grants, Parental/Family Support","LKR 50,001 - 75,000",8109,2,Unaffordable,Very Affordable,Very Unaffordable,Very Unaffordable,Neutral,Groceries/Food,More than 20 hours,Scholarship funds are delayed.
26/10/2025 12:24:12,Undergraduate,Part-time Job,"LKR 50,001 - 75,000",25938,4,Affordable,Neutral,Very Unaffordable,Affordable,Unaffordable,Accommodation,16-20 hours,
24/11/2025 02:05:52,Undergraduate,"Other (e.g., Freelancing)","LKR 50,001 - 75,000",20074,1,Affordable,Very Affordable,Affordable,Neutral,Very Unaffordable,Groceries/Food,More than 20 hours,
27/10/2025 23:11:11,Postgraduate,"Student Loans, Parental/Family Support, Other (e.g., Freelancing)","LKR 15,001 - 25,000",5658,5,Neutral,Unaffordable,Neutral,Affordable,Neutral,"Accommodation, Groceries/Food, Emergency Funding",6-10 hours,The country sucks
16/11/2025 19:56:15,Undergraduate,Student Loans,"LKR 50,001 - 75,000",26527,4,Neutral,Very Affordable,Affordable,Very Unaffordable,Neutral,"Groceries/Food, Emergency Funding, None of the above",6-10 hours,
04/11/2025 07:10:40,Postgraduate,"Savings, Part-time Job, Other (e.g., Freelancing)","LKR 35,001 - 50,000",8985,5,Very Unaffordable,Very Unaffordable,Unaffordable,Unaffordable,Unaffordable,"None of the above, Mental Health Services",6-10 hours,I need to work more to cover rent.
29/10/2025 07:10:15,Postgraduate,"Other (e.g., Freelancing), Student Loans, Scholarship/Grants",Prefer not to say,6972,2,Very Unaffordable,Very Affordable,Affordable,Unaffordable,Neutral,"Career Development Workshops, Tuition Fees, Mental Health Services",1-5 hours,
29/10/2025 20:24:36,Undergraduate,"Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",2129,4,Very Affordable,Unaffordable,Affordable,Unaffordable,Very Unaffordable,"Accommodation, Groceries/Food, Tuition Fees",1-5 hours,Scholarship funds are delayed.
07/11/2025 15:54:44,Undergraduate,"Other (e.g., Freelancing), Parental/Family Support, Scholarship/Grants","LKR 15,001 - 25,000",3494,3,Affordable,Unaffordable,Unaffordable,Unaffordable,Very Affordable,"Groceries/Food, Career Development Workshops",11-15 hours,The country sucks
04/11/2025 21:18:19,Undergraduate,Scholarship/Grants,"LKR 15,001 - 25,000",3575,3,Neutral,Very Affordable,Very Affordable,Very Affordable,Very Affordable,"Tuition Fees, Groceries/Food, Career Development Workshops",1-5 hours,
10/11/2025 09:41:50,Undergraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 15,001 - 25,000",7989,1,Neutral,Very Unaffordable,Very Unaffordable,Neutral,Unaffordable,"Groceries/Food, None of the above",1-5 hours,Scholarship funds are delayed.
15/11/2025 21:23:15,Undergraduate,"Part-time Job, Other (e.g., Freelancing), Student Loans",Prefer not to say,6275,3,Very Affordable,Very Affordable,Very Unaffordable,Affordable,Very Unaffordable,Mental Health Services,0 hours,Financial stress is very high this semester.
28/10/2025 22:30:58,Postgraduate,"Savings, Student Loans, Other (e.g., Freelancing)",Prefer not to say,7052,5,Very Unaffordable,Neutral,Very Affordable,Affordable,Affordable,"Emergency Funding, Career Development Workshops, Groceries/Food",11-15 hours,
